web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772320568-402","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton Ladoum","800 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3652330","https://images.coinafrique.com/thumb_4773721_uploaded_image1_1717238496.jpg"
"1772320569-488","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","95 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/brebis-4155201",""
"1772320570-403","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton","Prix sur demande","Diamniadio, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3653521","https://images.coinafrique.com/thumb_4258464_uploaded_image1_1686868865.jpg"
"1772320572-489","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Azawat","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-4160771",""
"1772320573-404","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton azawatte + agneau","300 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawatte-agneau-3656187","https://images.coinafrique.com/thumb_3656187_uploaded_image1_1650082241.jpg"
"1772320574-490","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton","Prix sur demande","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4169738",""
"1772320576-405","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton Ladoum","500 000 CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3657180","https://images.coinafrique.com/thumb_4905476_uploaded_image1_1724281103.jpg"
"1772320576-491","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","75 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/brebis-4175237",""
"1772320578-406","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton","300 CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3660872","https://images.coinafrique.com/thumb_5513111_uploaded_image1_1757248013.jpg"
"1772320579-492","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","Prix sur demande","Patte d'oie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4177437",""
"1772320580-407","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton Azawat","500 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-3667710","https://images.coinafrique.com/thumb_5234191_uploaded_image1_1742083080.jpg"
"1772320581-493","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","125 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4192844",""
"1772320583-408","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton","70 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3668212","https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg"
"1772320583-494","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","850 000 CFA","Almadies 2, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4195346",""
"1772320585-409","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton","500 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3672395","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772320586-495","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton","75 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4196101",""
"1772320587-410","https://sn.coinafrique.com/categorie/moutons?page=5","Ladoum","800 000 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-3679572","https://images.coinafrique.com/thumb_5777868_uploaded_image1_1771314333.jpg"
"1772320588-496","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton","800 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4198188",""
"1772320590-411","https://sn.coinafrique.com/categorie/moutons?page=5","Mouton","800 000 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3684289","https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg"
